date,window,is_anomaly,faulty_service,fault_type
2022-08-23,13_29,1,currencyservice,cpu_contention
2022-08-23,13_37,1,currencyservice,network_delay
2022-08-23,13_38,1,currencyservice,network_delay
2022-08-23,13_39,1,currencyservice,network_delay
2022-08-23,13_45,1,emailservice,cpu_contention
2022-08-23,13_46,1,emailservice,cpu_contention
2022-08-23,13_47,1,emailservice,cpu_contention
2022-08-23,13_54,1,emailservice,network_delay
2022-08-23,13_55,1,emailservice,network_delay
2022-08-23,13_56,1,emailservice,network_delay
2022-08-23,14_03,1,emailservice,cpu_consumed
2022-08-23,14_04,1,emailservice,cpu_consumed
2022-08-23,14_05,1,emailservice,cpu_consumed
2022-08-23,14_12,1,paymentservice,network_delay
2022-08-23,14_13,1,paymentservice,network_delay
2022-08-23,14_14,1,paymentservice,network_delay
2022-08-23,14_21,1,paymentservice,cpu_contention
2022-08-23,14_22,1,paymentservice,cpu_contention
2022-08-23,14_23,1,paymentservice,cpu_contention
2022-08-23,14_30,1,productcatalogservice,network_delay
2022-08-23,14_31,1,productcatalogservice,network_delay
2022-08-23,14_32,1,productcatalogservice,network_delay
2022-08-23,14_47,1,productcatalogservice,return
2022-08-23,14_48,1,productcatalogservice,return
2022-08-23,14_49,1,productcatalogservice,return
2022-08-23,14_55,1,productcatalogservice,cpu_consumed
2022-08-23,14_56,1,productcatalogservice,cpu_consumed
2022-08-23,14_57,1,productcatalogservice,cpu_consumed
2022-08-23,15_04,1,productcatalogservice,exception
2022-08-23,15_05,1,productcatalogservice,exception
2022-08-23,15_06,1,productcatalogservice,exception
2022-08-23,15_12,1,recommendationservice,network_delay
2022-08-23,15_13,1,recommendationservice,network_delay
2022-08-23,15_14,1,recommendationservice,network_delay
2022-08-23,15_21,1,recommendationservice,cpu_contention
2022-08-23,15_22,1,recommendationservice,cpu_contention
2022-08-23,15_23,1,recommendationservice,cpu_contention
2022-08-23,15_29,1,recommendationservice,cpu_consumed
2022-08-23,15_30,1,recommendationservice,cpu_consumed
2022-08-23,15_31,1,recommendationservice,cpu_consumed
2022-08-23,15_38,1,shippingservice,network_delay
2022-08-23,15_39,1,shippingservice,network_delay
2022-08-23,15_40,1,shippingservice,network_delay
2022-08-23,15_47,1,shippingservice,cpu_contention
2022-08-23,15_48,1,shippingservice,cpu_contention
2022-08-23,15_49,1,shippingservice,cpu_contention
2022-08-23,15_56,1,shippingservice,cpu_consumed
2022-08-23,15_57,1,shippingservice,cpu_consumed
2022-08-23,15_58,1,shippingservice,cpu_consumed
2022-08-23,16_05,1,adservice,network_delay
2022-08-23,16_06,1,adservice,network_delay
2022-08-23,16_07,1,adservice,network_delay
2022-08-23,16_13,1,adservice,return
2022-08-23,16_14,1,adservice,return
2022-08-23,16_15,1,adservice,return
2022-08-23,16_22,1,adservice,exception
2022-08-23,16_23,1,adservice,exception
2022-08-23,16_24,1,adservice,exception
2022-08-23,16_31,1,adservice,cpu_contention
2022-08-23,16_32,1,adservice,cpu_contention
2022-08-23,16_33,1,adservice,cpu_contention
2022-08-23,16_40,1,adservice,cpu_consumed
2022-08-23,16_41,1,adservice,cpu_consumed
2022-08-23,16_42,1,adservice,cpu_consumed
